Resale Value,Address,Latitude,Longitude
275000,Block 201 ANG MO KIO AVE 3,1.3688265,103.8445869
325000,Block 813 JURONG WEST ST 81,1.345967,103.695721
390000,Block 301 UBI AVE 1,1.3307113,103.9020287
470000,Block 933 TAMPINES ST 91,1.3452821,103.9387352
368000,Block 101 JLN RAJAH,1.3288769,103.850839
395000,Block 619C PUNGGOL DR,1.4023536,103.9106657
728000,Block 30A HOLLAND CL,1.3075803,103.7971977
763000,Block 273B BISHAN ST 24,1.3560509,103.8434547
265000,Block 241 YISHUN RING RD,1.4319288,103.8393161
272000,Block 219 BT BATOK ST 21,1.3472311,103.7550328
410000,Block 316 SEMBAWANG VISTA,1.4464833,103.8210374
500000,Block 367 WOODLANDS AVE 5,1.4334852,103.7863546
600000,Block 119 SIMEI ST 1,1.3437233,103.9519021
450000,Block 629 SENJA RD,1.3865534,103.7592846
275000,Block 210C COMPASSVALE LANE,1.3842948,103.8996003
525000,Block 765 BEDOK RESERVOIR VIEW,1.336151,103.9358346
300000,Block 610 ANG MO KIO AVE 4,1.379335,103.838932
258000,Block 220 YISHUN ST 21,1.4333493,103.8352334
745000,Block 664 YISHUN AVE 4,1.4202366,103.8410543
675000,Block 103 JLN RAJAH,1.3274024,103.8528283
620000,Block 2 HOLLAND AVE,1.3092147,103.7960431
520000,Block 512 SERANGOON NTH AVE 4,1.3716412,103.8753917
260000,Block 620 BEDOK RESERVOIR RD,1.3339841,103.9182508
365000,Block 130 EDGEDALE PLAINS,1.393372,103.909791
472000,Block 535 BT PANJANG RING RD,1.3844764,103.7633584
225000,Block 186 BOON LAY AVE,1.3457426,103.7112944
418000,Block 690D WOODLANDS DR 75,1.4426008,103.8079058
730000,Block 32 BEDOK STH AVE 2,1.3226774,103.9378287
690000,Block 4C SAINT GEORGE'S LANE,1.322393,103.860695
723000,Block 833 HOUGANG CTRL,1.3704534,103.8894872
508000,Block 277D COMPASSVALE LINK,1.381849,103.893933
258000,Block 417 BT BATOK WEST AVE 4,1.3628802,103.7463401
360000,Block 273B JURONG WEST AVE 3,1.3515504,103.7036262
328000,Block 4 HAIG RD,1.3120909,103.8972294
635000,Block 714 ANG MO KIO AVE 6,1.371088,103.8462175
477000,Block 649 PUNGGOL CTRL,1.3972782,103.9148975
420000,Block 272 TAMPINES ST 22,1.349125,103.950233
220000,Block 185 BOON LAY AVE,1.3465136,103.7109779
700000,Block 79B TOA PAYOH CTRL,1.3347825,103.8479877
415888,Block 612B PUNGGOL DR,1.404928,103.9081472
298000,Block 541 ANG MO KIO AVE 10,1.373289,103.8560821
520000,Block 270A SENGKANG CTRL,1.385768,103.894137
448500,Block 519 JELAPANG RD,1.3879307,103.7660633
415000,Block 769 PASIR RIS ST 71,1.3751217,103.9350868
538000,Block 387 BT BATOK WEST AVE 5,1.3648976,103.7525889
274000,Block 230 BT BATOK EAST AVE 3,1.3477999,103.7548292
380000,Block 7 MARINE TERRACE,1.3038523,103.9171633
560000,Block 138 POTONG PASIR AVE 3,1.3335439,103.8654029
300000,Block 329 JURONG EAST AVE 1,1.3501778,103.7298929
408000,Block 453 YISHUN ST 41,1.4197481,103.8452838
470000,Block 831 HOUGANG CTRL,1.3714884,103.8900672
330000,Block 762 YISHUN ST 72,1.4257068,103.8342609
350000,Block 119 BT MERAH VIEW,1.2835678,103.8208789
458000,Block 198 BOON LAY DR,1.3445806,103.7142608
240000,Block 459 YISHUN AVE 11,1.4210114,103.846308
430000,Block 617A PUNGGOL DR,1.4023316,103.9124159
260000,Block 214 YISHUN ST 21,1.43153,103.836136
439800,Block 419 TAMPINES ST 41,1.3582652,103.9467122
440000,Block 984D BUANGKOK LINK,1.3824965,103.8807797
542000,Block 10 HOLLAND AVE,1.30818,103.79421
705000,Block 273A BISHAN ST 24,1.3563043,103.8439529
510000,Block 10 EUNOS CRES,1.3223009,103.9025671
650000,Block 89 TANGLIN HALT RD,1.3012964,103.7990313
452088,Block 65 NEW UPP CHANGI RD,1.3247143,103.9398229
345000,Block 389 YISHUN AVE 6,1.4296553,103.8483915
300000,Block 93 COMMONWEALTH DR,1.3053873,103.800118
590000,Block 465 UPP SERANGOON RD,1.3720352,103.8966821
420000,Block 604B PUNGGOL RD,1.403912,103.90723
431000,Block 410C FERNVALE RD,1.3900337,103.8764759
258000,Block 535 ANG MO KIO AVE 5,1.3745632,103.8532832
308000,Block 520 HOUGANG AVE 6,1.373594,103.8901352
368000,Block 875 YISHUN ST 81,1.4148379,103.8362536
456000,Block 676B JURONG WEST ST 64,1.3460223,103.7040325
460000,Block 13 HOLLAND DR,1.3093758,103.7934172
495000,Block 306B PUNGGOL PL,1.405775,103.905935
345000,Block 541 SERANGOON NTH AVE 4,1.3742952,103.8726702
380000,Block 775 YISHUN RING RD,1.4225172,103.8321621
368000,Block 469B ADMIRALTY DR,1.4484762,103.8133847
285000,Block 95 COMMONWEALTH DR,1.305528,103.8011141
1028000,Block 50 COMMONWEALTH DR,1.30108,103.79715
300000,Block 639 YISHUN ST 61,1.4206009,103.8384501
388000,Block 210 CHOA CHU KANG CTRL,1.3824402,103.7481504
320000,Block 412 TAMPINES ST 41,1.3594393,103.946259
380000,Block 405C FERNVALE LANE,1.3892925,103.8734177
602000,Block 333 TAMPINES ST 32,1.3534959,103.9610358
368000,Block 111 EDGEFIELD PLAINS,1.396765,103.906848
385000,Block 347 TAMPINES ST 33,1.3518733,103.963121
280500,Block 302B ANCHORVALE LINK,1.38786,103.89069
270000,Block 269 YISHUN ST 22,1.437116,103.8403296
880000,Block 1C CANTONMENT RD,1.2774176,103.8414964
480000,Block 9 GLOUCESTER RD,1.3136024,103.8516753
705000,Block 661 JLN DAMAI,1.3347018,103.9080098
500000,Block 391 YISHUN AVE 6,1.4295041,103.8491162
835000,Block 416 CLEMENTI AVE 1,1.3103778,103.7713251
748000,Block 990B JURONG WEST ST 93,1.3354149,103.6948456
673000,Block 143 JLN BT MERAH,1.2778449,103.829819
428000,Block 843 JURONG WEST ST 81,1.3441024,103.6940009
430000,Block 605 HOUGANG AVE 4,1.3709238,103.8864427
460000,Block 624B PUNGGOL CTRL,1.4007533,103.9117632
447000,Block 423 CANBERRA RD,1.4536959,103.8181393
