Attractions,Latitude,Longitude
East Coast Park,1.3007842,103.9121866
Marina Bay Sands,1.2833965,103.8607526
Palawan Beach,1.2482777,103.8225374
Siloso Beach,1.2482777,103.8225374
Changi Beach,1.3909433,103.9920554
China Cultural Centre Singapore,1.298067,103.8521491
Science Centre Singapore,1.3332332,103.7362246
Singapore Discovery Centre,1.3326904,103.6789432
ArtScience Museum,1.2862738,103.8592663
Boat Quay,1.2876453,103.8493477
Clarke Quay,1.2906024,103.8464742
Bukit Timah Nature Reserve,1.3540562,103.7769454
Mount Faber Park,1.2737864,103.8174964
Baba House,1.277235,103.8373551
City Hall Building Singapore,1.29068,103.851743
Fort Canning,1.2945118,103.8458004
Fort Siloso,1.25915,103.8086221
Raffles Hotel Singapore,1.2948829,103.8544791
Marina Barrage,1.2805282,103.8711747
URA City Gallery,1.279783,103.8451536
Sungei Buloh Wetland Reserve,1.4479987,103.7245442
Buddha Tooth Relic Temple and Museum,1.2813361,103.8445218
Sri Mariamman Temple,1.2826847,103.8451304
Sultan Mosque,1.3018439,103.8592161
National Stadium Singapore,1.304013,103.8748426
Singapore Indoor Stadium,1.3005709,103.874394
Haw Par Villa,1.2842878,103.7824933
Adventure Cove,1.2587902,103.8186627
Universal Studios Singapore,1.2540421,103.8238084
Wild Wild Wet,1.3778232,103.9542874
Royal Albatross Singapore,1.258897,103.819902
Singapore Ducktours,1.2941283,103.8570517
Helix Bridge,1.2876834,103.8605974
Southern Ridges,1.2801012,103.8029949
Jurong Bird Park,1.3187065,103.7064417
Night Safari,1.4021872,103.7880606
River Safari,1.4031673,103.7906858
Singapore Zoo,1.4043485,103.793023
