Name,Latitude,Longitude,,
Admiralty Primary School,1.4427,103.7995,,MRT
Ahmad Ibrahim Primary School,1.4333,103.8321,,Primary School
Ai Tong School,1.3603,103.8321,,Attractions
Alexandra Primary School,1.2913,103.8233,,CC
Anchor Green Primary School,1.3913,103.8863,,Hawker
Anderson Primary School,1.3838,103.8414,,Higher Institutions
Anglo-Chinese School (Junior),1.3098,103.8409,,Hospitals
Anglo-Chinese School (Primary),1.3182,103.8357,,Kindergarten
Angsana Primary School,1.3482,103.9512,,Parks
Ang Mo Kio Primary School,1.3697,103.8395,,Polyclinics
Balestier Hill Primary School,1.3265,103.8445,,Secondary School
Beacon Primary School,1.3843,103.7731,,Shopping Mall
Bedok Green Primary School,1.3241,103.9372,,Supermarket
Bendemeer Primary School,1.3215,103.8657,,13
Blangah Rise Primary School,1.2762,103.8092,,
Boon Lay Garden Primary School,1.3433,103.7135,,
Bukit Panjang Primary School,1.3739,103.7693,,
Bukit Timah Primary School,1.3371,103.7668,,
Bukit View Primary School,1.3464,103.7538,,
Canberra Primary School,1.4514,103.8148,,
Canossa Convent Primary School,1.3261,103.8828,,
Cantonment Primary School,1.2751,103.8403,,
Casuarina Primary School,1.3722,103.9574,,
Catholic High School (Primary),1.3556,103.8451,,
Cedar Primary School,1.335,103.8755,,
Changkat Primary School,1.3406,103.9517,,
CHIJ (Katong) Primary,1.3069,103.9108,,
CHIJ (Kellock),1.3011,103.8009,,
CHIJ Our Lady of Good Counsel,1.3578,103.8634,,
CHIJ Our Lady of the Nativity,1.3728,103.8982,,
CHIJ Our Lady Queen of Peace,1.367,103.7675,,
CHIJ Primary (Toa Payoh),1.3334,103.8433,,
CHIJ St. Nicholas Girls' School,1.3752,103.8344,,
Chongfu School,1.4387,103.8401,,
Chongzheng Primary School,1.351,103.9517,,
Chua Chu Kang Primary School,1.3773,103.7418,,
Clementi Primary School,1.3163,103.7635,,
Compassvale Primary School,1.3951,103.8981,,
Concord Primary School,1.3806,103.7366,,
Coral Primary School,1.3678,103.9507,,
Corporation Primary School,1.3507,103.7076,,
Da Qiao Primary School,1.3718,103.8584,,
Damai Primary School,1.3361,103.9202,,
Dazhong Primary School,1.3589,103.749,,
De La Salle School,1.394,103.7439,,
East Coast Primary School,1.3293,103.9189,,
East Spring Primary School,1.3537,103.9619,,
East View Primary School,1.3467,103.9391,,
Edgefield Primary School,1.3999,103.9083,,
Elias Park Primary School,1.3745,103.9458,,
Endeavour Primary School,1.4549,103.8174,,
Eunos Primary School,1.3242,103.9054,,
Evergreen Primary School,1.4442,103.7943,,
Fairfield Methodist School (Primary),1.3002,103.7847,,
