Hospitals,Latitude,Longitude
Changi General Hospital (CGH),1.3404039,103.9494744
Khoo Teck Puat Hospital,1.4245534,103.8381574
Mount Alvernia Hospital,1.3418894,103.8379466
National University Hospital,1.2937278,103.7831756
Ng Teng Fong General Hospital & Jurong Community Hospital,1.3337448,103.7453915
Parkway East Hospital,1.3150463,103.9088475
Raffles Hospital,1.3011904,103.8572692
Sengkang General Hospital,1.395493,103.893403
Singapore General Hospital,1.2795877,103.8358881
Tan Tock Seng Hospital,1.3212713,103.845753
Alexandra Hospital,1.2865882,103.8012749
Ang Mo Kio-Thye Hua Kwan Hospital Ltd,1.3839647,103.8402805
Bright Vision Hospital,1.3720533,103.8780281
Kwong Wai Shiu Hospital And Nursing Home,1.317285,103.8593269
Ren Ci Long Term Care,1.355001,103.7515945
Ren Ci Community Hospital,1.3230139,103.8458206
Ren Ci Nursing Home,1.3606198,103.8529069
Sengkang General & Community Hospitals,1.395493,103.893403
St Andrew's Community Hospital,1.3417014,103.9489359
St Luke's Hospital,1.3494329,103.7420862
Yishun Community Hospital,1.423727,103.8373867
