Nature Parks/Gardens,Latitude,Longitude
Admiralty Park,1.4484105,103.7789861
Ang Mo Kio Town Garden East,1.3707346,103.8502485
Ang Mo Kio Town Garden West,1.3743688,103.8434332
Bedok Town Park,1.3354072,103.9256192
Bishan-Ang Mo Kio Park,1.3634088,103.8435614
Bukit Batok Nature Park,1.3485421,103.7641994
Bukit Batok Town Park,1.3567559,103.7536228
Bukit Timah Nature Reserve,1.3540562,103.7769454
Central Catchment Nature Reserve,1.3551526,103.7972022
Changi Beach Park,1.3909433,103.9920554
Chek Jawa,1.4087305,103.9910305
Chinese Garden Singapore,1.3385396,103.7303578
Choa Chu Kang Park,1.386865,103.7472637
Clementi Woods Park,1.3016586,103.7667196
Coney Island Park Singapore,1.4092951,103.9216496
Dairy Farm Nature Park,1.3618794,103.7753145
Dhoby Ghaut Green,1.2985111,103.8459649
East Coast Park,1.3007842,103.9121866
Esplanade Park Singapore,1.289901,103.8538653
Fort Canning Park,1.2945118,103.8458004
Gardens by the Bay,1.2815683,103.8636132
Hindede Nature Park,1.3489085,103.775735
Hong Lim Park,1.2865211,103.8465804
HortPark Singapore,1.2787362,103.8018322
Istana Park,1.2992392,103.8438178
Japanese Cemetery Park,1.36535,103.876795
Japanese Garden Singapore,1.3352778,103.7311111
Jurong Central Park,1.3381428,103.7078091
Kallang Riverside Park,1.3070353,103.8682849
Kent Ridge Park,1.2838852,103.7912945
Ketam Mountain Bike Park,1.4114816,103.9477547
Kranji Marshes,1.419696,103.7301122
Kranji Reservoir Park,1.4397126,103.7377931
Labrador Nature Reserve,1.2659383,103.8033226
Labrador Park,1.2659383,103.8033226
Lower Seletar Reservoir Park,1.4105647,103.8334004
MacRitchie Reservoir Park,1.3447621,103.8223506
Marsiling Park,1.4381215,103.7705687
"Mount Emily Park, Singapore",1.304574,103.8473498
Mount Faber Park,1.2737864,103.8174964
National Orchid Garden,1.3116834,103.8149013
One-north Park,1.3028391,103.7905769
Pasir Ris Park,1.3733023,103.9523953
Pasir Ris Town Park,1.3733023,103.9523953
Pearl's Hill City Park Singapore,1.2847052,103.8399242
Pulau Ubin,1.4125659,103.9577334
Punggol Park,1.3771936,103.8977243
Punggol Point Park,1.421153,103.910842
Punggol Waterway Park,1.4111243,103.9046565
Raffles Place Park,1.2841836,103.8515103
Sembawang Park,1.4603822,103.8363201
Sengkang Riverside Park,1.3982,103.8838833
Sengkang Sculpture Park,1.3949319,103.8968181
Singapore Botanic Gardens,1.3138397,103.8159136
Sisters' Island Marine Park Singapore,1.2146211,103.8350308
Sun Plaza Park,1.3590867,103.944574
Sungei Buloh Wetland Reserve,1.4479987,103.7245442
Tampines Eco Green,1.3645924,103.9477547
Tanjong Pagar Park,1.2765352,103.8467289
Telok Blangah Hill Park,1.2788234,103.8106681
The Southern Ridges,1.2801012,103.8029949
Tiong Bahru Park,1.2873698,103.8246836
Toa Payoh Town Park,1.3307585,103.8471983
Upper Peirce Reservoir Park,1.3746589,103.8112464
Upper Seletar Reservoir,1.3988664,103.7959574
War Memorial Park Singapore,1.2928957,103.8546778
Waterboat House Garden,1.2873153,103.8534218
West Coast Park,1.2913603,103.7666534
Woodlands Town Garden,1.4381215,103.7705687
Woodlands Waterfront Park,1.4530016,103.7802692
Yishun Neighbourhood Park,1.4379197,103.8353583
Yishun Park,1.4243078,103.8442505
Yishun Pond Park,1.4279278,103.8399388
Youth Olympic Park,1.2890148,103.860417
Zhenghua Park,1.3749846,103.7766208
