Polyclinics,Latitude,Longitude
Ang Mo Kio Polyclinic,1.3743816,103.8457668
Bedok Polyclinic,1.3269794,103.9318285
Bukit Batok Polyclinic,1.351972,103.7479241
Bukit Merah Polyclinic,1.283625,103.8173827
Choa Chu Kang Polyclinic,1.38236,103.7508299
Clementi Polyclinic,1.3128033,103.7657387
Geylang Polyclinic,1.3194761,103.887157
Hougang Polyclinic,1.3697824,103.8889986
Jurong Polyclinic,1.3497921,103.730619
Marine Parade Polyclinic,1.3025525,103.9078332
Outram Polyclinic,1.2796882,103.8382459
Pasir Ris Polyclinic,1.3684543,103.9594183
Queenstown Polyclinic,1.298412,103.8010485
Sengkang Polyclinic,1.3927635,103.8940278
Tampines Polyclinic,1.3574164,103.9459161
Toa Payoh Polyclinic,1.3345499,103.858986
Toa Payoh Polyclinic,1.3345499,103.858986
Woodlands Polyclinic,1.4308926,103.7752374
Yishun Polyclinic,1.4303842,103.8390594
