Shopping malls,Latitude,Longitude
Lot 1 SIngapore,1.3851131,103.744937
100 AM,1.275055,103.843498
313@Somerset,1.3008856,103.8383582
Aperia,1.3103487,103.8641309
Balestier Hill Shopping Centre,1.3256664,103.8426297
Bugis Cube,1.2981505,103.8555636
Bugis Junction,1.2996154,103.8551659
Bugis+,1.2997181,103.8541392
Capitol Piazza,1.2930831,103.8513602
Cathay Cineleisure Orchard,1.3015932,103.8362912
Clarke Quay Central,1.2889622,103.8467906
The Centrepoint,1.3021282,103.8397604
City Square Mall,1.3111877,103.8566675
City Gate Mall,1.3022965,103.8622714
CityLink Mall,1.2913085,103.8551998
Duo,1.2994615,103.8583875
Far East Plaza,1.3071164,103.8337814
Great World City,1.2936057,103.832007
HDB Hub,1.3323801,103.8480517
Holland Village Shopping Mall,1.3104547,103.7954048
ION Orchard,1.3039937,103.8319701
Junction 8,1.3505028,103.8485932
Knightsbridge[1],1.3030644,103.8361853
Liang Court,1.2915874,103.8447075
Liat Towers,1.3051925,103.8305905
Lucky Plaza,1.3045456,103.8339449
Marina Bay Sands,1.2833965,103.8607526
The Shoppes at Marina Bay Sands,1.2841228,103.8595527
Marina Bay Financial Centre Tower 3,1.2790221,103.8544967
Marina Bay Link Mall,1.2795701,103.8543286
Marina One,1.2776331,103.8531473
Marina Square,1.2913547,103.8577149
Millenia Walk,1.2928582,103.8597114
Mustafa Shopping Centre,1.3098352,103.8554123
Ngee Ann City,1.3025572,103.834568
Orchard Central,1.3010037,103.8396357
Orchard Gateway,1.300979,103.8388955
Orchard Plaza,1.301674,103.8380766
Orchard Midpoint,1.3017325,103.8386541
Orchard Shopping Centre,1.3015019,103.8378442
Palais Renaissance,1.3066471,103.8295288
Paragon Shopping Centre,1.3038699,103.8357982
People's Park Centre Singapore,1.2858386,103.8438927
People's Park Complex,1.2841977,103.8425488
Plaza Singapura,1.3007882,103.8447839
PoMo,1.3001917,103.84922
Raffles City,1.2937585,103.8534331
Scotts Square,1.3059045,103.8329648
Serangoon Plaza,1.3165046,103.8591509
Shaw House and Centre,1.3055124,103.8317552
Sim Lim Square,1.3030433,103.8529208
Singapore Shopping Centre,1.2980956,103.8441599
The South Beach,1.2946948,103.8555754
Square 2,1.3206655,103.8442408
Suntec City,1.2941429,103.8578406
Tanglin Mall,1.3050606,103.8238701
Tangs Singapore,1.3047576,103.8328487
Tanjong Pagar Centre,1.2770321,103.8458774
Tekka Centre,1.306251,103.850654
The Poiz [2],1.3310579,103.8673334
Thomson Plaza,1.3548791,103.8308644
"United Square, The Kids Learning Mall",1.3171888,103.843551
Velocity novena square,1.3198822,103.8439452
Wheelock Place,1.3047149,103.8303499
Wisma Atria,1.3038568,103.8330558
Zhongshan Mall,1.327052,103.8464843
White Sands mall singapore,1.3724166,103.9496584
Downtown East,1.3776353,103.9546963
Century Square,1.3524291,103.9438202
Tampines 1,1.3542124,103.9450353
Tampines Mall,1.3524854,103.944707
Our Tampines Hub,1.3529604,103.9403451
Changi Airport,1.3644202,103.9915308
Changi City Point,1.3341597,103.9628536
Djitsun Mall Bedok,1.3262683,103.929638
Eastpoint Mall Simei,1.3427145,103.9530415
Bedok Mall,1.3247613,103.9293808
Bedok Point,1.3249063,103.9323644
Paya Lebar Square,1.3243504,103.8907773
Singapore Post Centre,1.3190065,103.8943833
KINEX (formerly One KM Mall),1.3123508,103.894188
112 Katong,1.3052181,103.9049799
Parkway Parade,1.3013366,103.9052333
City Plaza Singapore,1.3151992,103.8933011
