Address,Town,Latitude,Longitude,Resale,Name
588C ANG MO KIO ST 52,ANG MO KIO,1.3718689,103.8535776,"$980,000","ANG MO KIO: $980,000"
108 LENGKONG TIGA,BEDOK,1.324812,103.9100036,"$935,000","BEDOK: $935,000"
273B BISHAN ST 24,BISHAN,1.3560509,103.8434547,"$1,180,000","BISHAN: $1,180,000"
289D BT BATOK ST 25,BUKIT BATOK,1.3434832,103.7592567,"$938,000","BUKIT BATOK: $938,000"
126A KIM TIAN RD,BUKIT MERAH,1.2824952,103.829395,"$988,000","BUKIT MERAH: $988,000"
180 LOMPANG RD,BUKIT PANJANG,1.3791163,103.7648068,"$840,000","BUKIT PANJANG: $840,000"
6 TOH YI DR,BUKIT TIMAH,1.3378161,103.7748565,"$1,018,888","BUKIT TIMAH: $1,018,888"
1E CANTONMENT RD,CENTRAL AREA,1.276639,103.8411519,"$1,138,000","CENTRAL AREA: $1,138,000"
641 CHOA CHU KANG ST 64,CHOA CHU KANG,1.3983793,103.749825,"$888,000","CHOA CHU KANG: $888,000"
441A CLEMENTI AVE 3,CLEMENTI,1.3145929,103.764704,"$1,040,000","CLEMENTI: $1,040,000"
62 DAKOTA CRES,GEYLANG,1.307958,103.8888142,"$970,000","GEYLANG: $970,000"
237 HOUGANG ST 21,HOUGANG,1.3569949,103.888708,"$920,000","HOUGANG: $920,000"
285C TOH GUAN RD,JURONG EAST,1.3378679,103.7465669,"$900,000","JURONG EAST: $900,000"
472 JURONG WEST ST 41,JURONG WEST,1.3482252,103.7222677,"$790,000","JURONG WEST: $790,000"
57 JLN MA'MOR,KALLANG/WHAMPOA,1.32845,103.85677,"$1,150,000","KALLANG/WHAMPOA: $1,150,000"
3 MARINE TER,MARINE PARADE,1.30413,103.91773,"$950,000","MARINE PARADE: $950,000"
157 PASIR RIS ST 13,PASIR RIS,1.3644494,103.962645,"$860,000","PASIR RIS: $860,000"
267A PUNGGOL FIELD,PUNGGOL,1.4044907,103.8975456,"$860,000","PUNGGOL: $860,000"
148 MEI LING ST,QUEENSTOWN,1.2944356,103.8043036,"$1,160,000","QUEENSTOWN: $1,160,000"
310 CANBERRA RD,SEMBAWANG,1.4470627,103.8223054,"$670,000","SEMBAWANG: $670,000"
320C ANCHORVALE DR,SENGKANG,1.3911172,103.8913358,"$720,000","SENGKANG: $720,000"
317 SERANGOON AVE 2,SERANGOON,1.3525888,103.8659566,"$1,000,000","SERANGOON: $1,000,000"
460 TAMPINES ST 42,TAMPINES,1.3583631,103.9549617,"$970,000","TAMPINES: $970,000"
138C LOR 1A TOA PAYOH,TOA PAYOH,1.336253,103.844778,"$1,120,000","TOA PAYOH: $1,120,000"
835 WOODLANDS ST 83,WOODLANDS,1.4405021,103.7911535,"$855,000","WOODLANDS: $855,000"
652 YISHUN AVE 4,YISHUN,1.4237633,103.8401485,"$818,000","YISHUN: $818,000"
