X,Y,Name,description,ADDRESSBLOCKHOUSENUMBER,ADDRESSBUILDINGNAME,ADDRESSFLOORNUMBER,ADDRESSPOSTALCODE,ADDRESSSTREETNAME,ADDRESSTYPE,DESCRIPTION2,HYPERLINK,LANDXADDRESSPOINT,LANDYADDRESSPOINT,NAME2,PHOTOURL,INC_CRC,FMEL_UPD_D,ADDRESSUNITNUMBER
103.853311673433,1.34593563504576,PCF SPARKLETOTS PRESCHOOL @ BISHAN EAST-THOMSON Blk 144 (KN),Kindergartens,,,,570144,144 Bishan Street 12 #01-554,,,,0,0,,,B765A88E3ACC1693,20170807175647,
103.850672501176,1.34909670833295,PCF SPARKLETOTS PRESCHOOL @ BISHAN EAST-THOMSON Blk 197 (KN),Kindergartens,,,,570197,197196115 197 Bishan Street 13 #01-567,,,,0,0,,,0165D5C989187A15,20170807175647,
103.837224444321,1.35151110568647,PCF SPARKLETOTS PRESCHOOL @ BISHAN EAST-THOMSON Blk 313 (KN),Kindergartens,,,,570313,313 Shunfu Road #01-287,,,,0,0,,,DC187DF41287B909,20170807175647,
103.845845691857,1.35729122276114,PCF SPARKLETOTS PRESCHOOL @ BISHAN NORTH Blk 231 (KN),Kindergartens,,,,570231,231 Bishan Street 23 #01-21,,,,0,0,,,D79174D1A5DA3CD6,20170807175647,
103.831751028933,1.35908430549976,PCF SPARKLETOTS PRESCHOOL @ BISHAN NORTH Blk 441 (KN),Kindergartens,,,,570441,441 Sin Ming Avenue #01-417,,,,0,0,,,2E27334C3C479CE7,20170807175647,
103.713568362946,1.34658608598901,PCF SPARKLETOTS PRESCHOOL @ BOON LAY Blk 207 (KN),Kindergartens,,,,640207,207 Boon Lay Place #01-215,,,,0,0,,,BA5F6F9BE254F955,20170807175647,
103.707299106492,1.34480138701436,PCF SPARKLETOTS PRESCHOOL @ BOON LAY Blk 262 (KN),Kindergartens,,,,640262,262 Boon Lay Drive #01-573,,,,0,0,,,CBD959D583133C3E,20170807175647,
103.700135375227,1.34305786269517,PCF SPARKLETOTS PRESCHOOL @ BOON LAY Blk 631 (KN),Kindergartens,,,,640631,631 Jurong West Street 65 #01-260,,,,0,0,,,973E31E03BF5C45C,20170807175647,
103.867068739226,1.35462817595605,PCF SPARKLETOTS PRESCHOOL @ BRADDELL HEIGHTS Blk 307 (KN),Kindergartens,,,,550307,307235 307 Serangoon Avenue 2 #01-44,,,,0,0,,,F5E24C238E986CE2,20170807175647,
103.875055740474,1.34993638129152,PCF SPARKLETOTS PRESCHOOL @ BRADDELL HEIGHTS Blk 417 (KN),Kindergartens,,,,550417,417 Serangoon Central #01-456,,,,0,0,,,A23852E763B7FF9A,20170807175647,
103.743590951844,1.34927162959176,PCF SPARKLETOTS PRESCHOOL @ BUKIT BATOK Blk 148 (KN),Kindergartens,,,,650148,148 Bukit Batok West Avenue 6 #01-319,,,,0,0,,,F6C99837153D11B7,20170807175647,
103.742841777388,1.34555899398528,PCF SPARKLETOTS PRESCHOOL @ BUKIT BATOK Blk 180 (KN),Kindergartens,,,,650180,180 Bukit Batok West Avenue 8 #01-181,,,,0,0,,,F73069E6E50C9F0F,20170807175647,
103.754544469251,1.3508952209973,PCF SPARKLETOTS PRESCHOOL @ BUKIT BATOK EAST Blk 241 (KN),Kindergartens,,,,650241,241 Bukit Batok East Avenue 5 #01-261,,,,0,0,,,D125DD88056F6DC4,20170807175647,
103.746604060797,1.33788840386755,PCF SPARKLETOTS PRESCHOOL @ BUKIT BATOK EAST Blk 285C (KN),Kindergartens,,,,603285,285D 285C Toh Guan Road #01-92,,,,0,0,,,B72E2B7D3A8B27EF,20170807175647,
103.758784095896,1.34504259330817,PCF SPARKLETOTS PRESCHOOL @ BUKIT BATOK EAST Blk 289G (KN),Kindergartens,,,,656289,289G Bukit Batok Street 25 #01-94,,,,0,0,,,4E6B1F6F499E614B,20170807175647,
103.750399548883,1.354970755306,PCF SPARKLETOTS PRESCHOOL @ BUKIT GOMBAK Blk 535 (DS),Kindergartens,,,,650535,535 Bukit Batok Street 52 #01-631,,,,0,0,,,48F07934BE982BC8,20170807175647,
103.768365659102,1.37816746625742,PCF SPARKLETOTS PRESCHOOL @ BUKIT PANJANG Blk 111 (KN),Kindergartens,,,,670111,111 110 111 Gangsa Road #01-75,,,,0,0,,,5249A9027C72B3FB,20170807175647,
